Hourly measurement data supplied by UK-air on 25/7/2014
 All Data are GMT hour ending
Status: R=Ratified P=Provisional A=As supplied V=Validated S=Suspect
,,Tower Hamlets Roadside,,,,,,,,,,,,
Date,time,"Modelled Wind Direction",status/unit,"Modelled Wind Speed",status/unit,"Modelled Temperature",status/unit,"Nitric oxide",status/unit,"Nitrogen dioxide",status/unit,"Nitrogen oxides as nitrogen dioxide",status/unit
01-01-2014,24:00,220.8,P deg,8.0,P ms-1,11.1,P degC,3,P ugm-3,14,P ugm-3,18,P ugm-3
02-01-2014,01:00,219.1,P deg,7.1,P ms-1,9.3,P degC,2,P ugm-3,13,P ugm-3,17,P ugm-3
02-01-2014,02:00,222.0,P deg,6.9,P ms-1,9.3,P degC,2,P ugm-3,13,P ugm-3,17,P ugm-3
02-01-2014,03:00,229.9,P deg,6.2,P ms-1,9.7,P degC,2,P ugm-3,11,P ugm-3,13,P ugm-3
02-01-2014,04:00,261.3,P deg,5.7,P ms-1,9.3,P degC,5,P ugm-3,19,P ugm-3,26,P ugm-3
02-01-2014,05:00,269.8,P deg,5.0,P ms-1,8.5,P degC,6,P ugm-3,28,P ugm-3,37,P ugm-3
02-01-2014,06:00,268.7,P deg,5.4,P ms-1,7.9,P degC,10,P ugm-3,37,P ugm-3,52,P ugm-3
02-01-2014,07:00,263.0,P deg,5.6,P ms-1,7.1,P degC,18,P ugm-3,50,P ugm-3,77,P ugm-3
02-01-2014,08:00,256.4,P deg,5.6,P ms-1,6.8,P degC,23,P ugm-3,48,P ugm-3,84,P ugm-3
02-01-2014,09:00,251.9,P deg,5.2,P ms-1,6.9,P degC,18,P ugm-3,52,P ugm-3,80,P ugm-3
02-01-2014,10:00,246.2,P deg,4.9,P ms-1,7.7,P degC,25,P ugm-3,53,P ugm-3,92,P ugm-3
02-01-2014,11:00,237.3,P deg,4.3,P ms-1,8.7,P degC,24,P ugm-3,226,P ugm-3,262,P ugm-3
02-01-2014,12:00,240.9,P deg,4.7,P ms-1,9.8,P degC,21,P ugm-3,46,P ugm-3,78,P ugm-3
02-01-2014,13:00,226.6,P deg,3.5,P ms-1,9.8,P degC,13,P ugm-3,34,P ugm-3,55,P ugm-3
02-01-2014,14:00,235.1,P deg,5.6,P ms-1,9.6,P degC,14,P ugm-3,34,P ugm-3,56,P ugm-3
02-01-2014,15:00,234.2,P deg,5.6,P ms-1,9.2,P degC,13,P ugm-3,37,P ugm-3,56,P ugm-3
02-01-2014,16:00,228.2,P deg,5.3,P ms-1,8.6,P degC,9,P ugm-3,35,P ugm-3,49,P ugm-3
02-01-2014,17:00,223.1,P deg,4.9,P ms-1,8.4,P degC,7,P ugm-3,39,P ugm-3,49,P ugm-3
02-01-2014,18:00,215.2,P deg,4.7,P ms-1,8.0,P degC,7,P ugm-3,41,P ugm-3,51,P ugm-3
02-01-2014,19:00,212.0,P deg,5.2,P ms-1,8.2,P degC,8,P ugm-3,40,P ugm-3,52,P ugm-3
02-01-2014,20:00,209.6,P deg,6.1,P ms-1,8.7,P degC,7,P ugm-3,39,P ugm-3,49,P ugm-3
02-01-2014,21:00,205.9,P deg,6.5,P ms-1,9.2,P degC,4,P ugm-3,27,P ugm-3,33,P ugm-3
02-01-2014,22:00,202.9,P deg,6.8,P ms-1,9.8,P degC,3,P ugm-3,24,P ugm-3,28,P ugm-3
02-01-2014,23:00,205.6,P deg,7.6,P ms-1,10.5,P degC,3,P ugm-3,22,P ugm-3,26,P ugm-3
02-01-2014,24:00,199.9,P deg,8.5,P ms-1,10.6,P degC,2,P ugm-3,16,P ugm-3,19,P ugm-3
03-01-2014,01:00,211.0,P deg,9.0,P ms-1,10.7,P degC,2,P ugm-3,14,P ugm-3,17,P ugm-3
03-01-2014,02:00,223.0,P deg,8.7,P ms-1,11.3,P degC,3,P ugm-3,11,P ugm-3,15,P ugm-3
03-01-2014,03:00,235.3,P deg,7.9,P ms-1,11.6,P degC,2,P ugm-3,9,P ugm-3,12,P ugm-3
03-01-2014,04:00,238.6,P deg,6.9,P ms-1,10.5,P degC,2,P ugm-3,9,P ugm-3,12,P ugm-3
03-01-2014,05:00,233.2,P deg,5.9,P ms-1,9.7,P degC,3,P ugm-3,12,P ugm-3,17,P ugm-3
03-01-2014,06:00,224.2,P deg,6.0,P ms-1,9.4,P degC,2,P ugm-3,15,P ugm-3,18,P ugm-3
03-01-2014,07:00,222.8,P deg,6.9,P ms-1,9.4,P degC,4,P ugm-3,19,P ugm-3,26,P ugm-3
03-01-2014,08:00,220.5,P deg,7.9,P ms-1,9.9,P degC,14,P ugm-3,39,P ugm-3,60,P ugm-3
03-01-2014,09:00,224.1,P deg,9.2,P ms-1,10.6,P degC,12,P ugm-3,45,P ugm-3,63,P ugm-3
03-01-2014,10:00,233.3,P deg,9.7,P ms-1,10.6,P degC,13,P ugm-3,40,P ugm-3,61,P ugm-3
03-01-2014,11:00,236.0,P deg,8.1,P ms-1,11.0,P degC,9,P ugm-3,30,P ugm-3,43,P ugm-3
03-01-2014,12:00,237.7,P deg,9.1,P ms-1,10.9,P degC,7,P ugm-3,28,P ugm-3,38,P ugm-3
03-01-2014,13:00,236.5,P deg,9.3,P ms-1,10.5,P degC,5,P ugm-3,24,P ugm-3,31,P ugm-3
03-01-2014,14:00,236.1,P deg,8.5,P ms-1,9.8,P degC,8,P ugm-3,23,P ugm-3,34,P ugm-3
03-01-2014,15:00,241.1,P deg,9.1,P ms-1,9.4,P degC,10,P ugm-3,33,P ugm-3,48,P ugm-3
03-01-2014,16:00,242.6,P deg,9.0,P ms-1,9.1,P degC,7,P ugm-3,30,P ugm-3,41,P ugm-3
03-01-2014,17:00,245.6,P deg,9.1,P ms-1,8.9,P degC,6,P ugm-3,28,P ugm-3,37,P ugm-3
03-01-2014,18:00,247.4,P deg,9.0,P ms-1,8.6,P degC,6,P ugm-3,35,P ugm-3,44,P ugm-3
03-01-2014,19:00,249.4,P deg,9.0,P ms-1,8.4,P degC,7,P ugm-3,32,P ugm-3,43,P ugm-3
03-01-2014,20:00,248.1,P deg,8.6,P ms-1,8.2,P degC,6,P ugm-3,26,P ugm-3,36,P ugm-3
03-01-2014,21:00,245.5,P deg,8.6,P ms-1,8.2,P degC,5,P ugm-3,23,P ugm-3,31,P ugm-3
03-01-2014,22:00,242.5,P deg,8.3,P ms-1,8.2,P degC,5,P ugm-3,21,P ugm-3,29,P ugm-3
03-01-2014,23:00,239.9,P deg,7.3,P ms-1,8.6,P degC,7,P ugm-3,22,P ugm-3,32,P ugm-3
03-01-2014,24:00,232.4,P deg,7.0,P ms-1,8.8,P degC,6,P ugm-3,25,P ugm-3,35,P ugm-3
04-01-2014,01:00,225.2,P deg,6.8,P ms-1,7.5,P degC,4,P ugm-3,21,P ugm-3,27,P ugm-3
04-01-2014,02:00,218.4,P deg,6.5,P ms-1,8.3,P degC,3,P ugm-3,17,P ugm-3,22,P ugm-3
04-01-2014,03:00,210.6,P deg,6.5,P ms-1,8.9,P degC,2,P ugm-3,14,P ugm-3,17,P ugm-3
04-01-2014,04:00,205.0,P deg,6.5,P ms-1,9.1,P degC,2,P ugm-3,13,P ugm-3,16,P ugm-3
04-01-2014,05:00,194.9,P deg,6.6,P ms-1,9.1,P degC,1,P ugm-3,14,P ugm-3,16,P ugm-3
04-01-2014,06:00,201.2,P deg,8.3,P ms-1,9.7,P degC,1,P ugm-3,9,P ugm-3,10,P ugm-3
04-01-2014,07:00,199.1,P deg,9.0,P ms-1,9.8,P degC,2,P ugm-3,10,P ugm-3,13,P ugm-3
04-01-2014,08:00,200.1,P deg,9.2,P ms-1,9.9,P degC,2,P ugm-3,14,P ugm-3,17,P ugm-3
04-01-2014,09:00,199.7,P deg,8.9,P ms-1,9.8,P degC,2,P ugm-3,15,P ugm-3,18,P ugm-3
04-01-2014,10:00,206.5,P deg,9.0,P ms-1,10.1,P degC,3,P ugm-3,15,P ugm-3,19,P ugm-3
04-01-2014,11:00,212.4,P deg,8.2,P ms-1,10.2,P degC,4,P ugm-3,16,P ugm-3,22,P ugm-3
04-01-2014,12:00,218.0,P deg,7.2,P ms-1,10.2,P degC,3,P ugm-3,21,P ugm-3,26,P ugm-3
04-01-2014,13:00,234.0,P deg,5.6,P ms-1,10.0,P degC,5,P ugm-3,23,P ugm-3,30,P ugm-3
04-01-2014,14:00,251.4,P deg,4.4,P ms-1,10.1,P degC,5,P ugm-3,22,P ugm-3,29,P ugm-3
04-01-2014,15:00,254.6,P deg,4.6,P ms-1,9.5,P degC,20,P ugm-3,45,P ugm-3,75,P ugm-3
04-01-2014,16:00,265.1,P deg,4.5,P ms-1,8.7,P degC,42,P ugm-3,75,P ugm-3,139,P ugm-3
04-01-2014,17:00,260.8,P deg,4.2,P ms-1,8.1,P degC,48,P ugm-3,81,P ugm-3,155,P ugm-3
04-01-2014,18:00,256.9,P deg,4.8,P ms-1,7.6,P degC,52,P ugm-3,89,P ugm-3,168,P ugm-3
04-01-2014,19:00,253.3,P deg,4.5,P ms-1,7.0,P degC,46,P ugm-3,84,P ugm-3,154,P ugm-3
04-01-2014,20:00,250.0,P deg,4.3,P ms-1,6.2,P degC,22,P ugm-3,67,P ugm-3,101,P ugm-3
04-01-2014,21:00,236.9,P deg,3.7,P ms-1,5.2,P degC,22,P ugm-3,62,P ugm-3,95,P ugm-3
04-01-2014,22:00,221.1,P deg,3.7,P ms-1,4.6,P degC,16,P ugm-3,52,P ugm-3,77,P ugm-3
04-01-2014,23:00,214.2,P deg,4.2,P ms-1,4.9,P degC,14,P ugm-3,49,P ugm-3,70,P ugm-3
04-01-2014,24:00,207.8,P deg,5.5,P ms-1,6.0,P degC,15,P ugm-3,47,P ugm-3,70,P ugm-3
05-01-2014,01:00,246.0,P deg,3.5,P ms-1,2.2,P degC,15,P ugm-3,48,P ugm-3,70,P ugm-3
05-01-2014,02:00,244.3,P deg,3.1,P ms-1,1.6,P degC,19,P ugm-3,55,P ugm-3,85,P ugm-3
05-01-2014,03:00,245.0,P deg,3.0,P ms-1,1.2,P degC,7,P ugm-3,37,P ugm-3,47,P ugm-3
05-01-2014,04:00,247.8,P deg,2.0,P ms-1,0.9,P degC,5,P ugm-3,32,P ugm-3,39,P ugm-3
05-01-2014,05:00,235.3,P deg,1.9,P ms-1,1.1,P degC,15,P ugm-3,42,P ugm-3,65,P ugm-3
05-01-2014,06:00,235.7,P deg,2.1,P ms-1,0.8,P degC,8,P ugm-3,38,P ugm-3,50,P ugm-3
05-01-2014,07:00,240.1,P deg,1.8,P ms-1,0.4,P degC,10,P ugm-3,41,P ugm-3,56,P ugm-3
05-01-2014,08:00,236.6,P deg,2.5,P ms-1,-0.1,P degC,9,P ugm-3,57,P ugm-3,71,P ugm-3
05-01-2014,09:00,223.6,P deg,2.5,P ms-1,-0.2,P degC,16,P ugm-3,66,P ugm-3,90,P ugm-3
05-01-2014,10:00,219.0,P deg,1.9,P ms-1,0.7,P degC,14,P ugm-3,59,P ugm-3,81,P ugm-3
05-01-2014,11:00,212.3,P deg,2.1,P ms-1,4.3,P degC,12,P ugm-3,46,P ugm-3,64,P ugm-3
05-01-2014,12:00,193.4,P deg,3.4,P ms-1,7.1,P degC,14,P ugm-3,49,P ugm-3,70,P ugm-3
05-01-2014,13:00,203.1,P deg,5.0,P ms-1,7.7,P degC,8,P ugm-3,41,P ugm-3,54,P ugm-3
05-01-2014,14:00,203.5,P deg,5.6,P ms-1,7.9,P degC,8,P ugm-3,37,P ugm-3,49,P ugm-3
05-01-2014,15:00,191.9,P deg,6.0,P ms-1,7.6,P degC,5,P ugm-3,33,P ugm-3,41,P ugm-3
05-01-2014,16:00,184.5,P deg,6.7,P ms-1,8.0,P degC,4,P ugm-3,27,P ugm-3,33,P ugm-3
05-01-2014,17:00,185.6,P deg,7.1,P ms-1,8.4,P degC,3,P ugm-3,22,P ugm-3,27,P ugm-3
05-01-2014,18:00,195.1,P deg,8.1,P ms-1,8.9,P degC,2,P ugm-3,16,P ugm-3,19,P ugm-3
05-01-2014,19:00,199.8,P deg,7.4,P ms-1,9.5,P degC,2,P ugm-3,16,P ugm-3,19,P ugm-3
05-01-2014,20:00,210.3,P deg,7.9,P ms-1,10.8,P degC,3,P ugm-3,21,P ugm-3,26,P ugm-3
05-01-2014,21:00,212.4,P deg,7.5,P ms-1,11.6,P degC,4,P ugm-3,24,P ugm-3,30,P ugm-3
05-01-2014,22:00,214.9,P deg,7.8,P ms-1,12.4,P degC,3,P ugm-3,14,P ugm-3,19,P ugm-3
05-01-2014,23:00,221.0,P deg,8.4,P ms-1,13.2,P degC,2,P ugm-3,15,P ugm-3,18,P ugm-3
05-01-2014,24:00,224.0,P deg,8.6,P ms-1,13.6,P degC,2,P ugm-3,11,P ugm-3,14,P ugm-3
06-01-2014,01:00,222.3,P deg,8.7,P ms-1,12.7,P degC,3,P ugm-3,9,P ugm-3,13,P ugm-3
06-01-2014,02:00,225.6,P deg,8.7,P ms-1,13.0,P degC,2,P ugm-3,10,P ugm-3,14,P ugm-3
06-01-2014,03:00,226.9,P deg,8.9,P ms-1,13.1,P degC,2,P ugm-3,13,P ugm-3,16,P ugm-3
06-01-2014,04:00,227.5,P deg,8.9,P ms-1,13.0,P degC,2,P ugm-3,9,P ugm-3,11,P ugm-3
06-01-2014,05:00,226.5,P deg,8.7,P ms-1,12.8,P degC,2,P ugm-3,8,P ugm-3,11,P ugm-3
06-01-2014,06:00,226.6,P deg,8.7,P ms-1,12.7,P degC,3,P ugm-3,13,P ugm-3,17,P ugm-3
06-01-2014,07:00,226.7,P deg,8.9,P ms-1,12.6,P degC,4,P ugm-3,19,P ugm-3,25,P ugm-3
06-01-2014,08:00,228.4,P deg,9.0,P ms-1,12.4,P degC,10,P ugm-3,30,P ugm-3,45,P ugm-3
06-01-2014,09:00,229.8,P deg,9.1,P ms-1,12.2,P degC,11,P ugm-3,40,P ugm-3,57,P ugm-3
06-01-2014,10:00,230.4,P deg,9.0,P ms-1,12.1,P degC,13,P ugm-3,42,P ugm-3,62,P ugm-3
06-01-2014,11:00,233.1,P deg,7.5,P ms-1,12.7,P degC,9,P ugm-3,34,P ugm-3,48,P ugm-3
06-01-2014,12:00,230.8,P deg,8.1,P ms-1,12.8,P degC,8,P ugm-3,26,P ugm-3,38,P ugm-3
06-01-2014,13:00,228.8,P deg,8.0,P ms-1,12.6,P degC,8,P ugm-3,27,P ugm-3,40,P ugm-3
06-01-2014,14:00,226.8,P deg,6.7,P ms-1,12.2,P degC,8,P ugm-3,25,P ugm-3,38,P ugm-3
06-01-2014,15:00,227.2,P deg,8.8,P ms-1,11.5,P degC,8,P ugm-3,23,P ugm-3,36,P ugm-3
06-01-2014,16:00,226.3,P deg,8.8,P ms-1,10.9,P degC,12,P ugm-3,32,P ugm-3,49,P ugm-3
06-01-2014,17:00,225.9,P deg,9.1,P ms-1,10.9,P degC,7,P ugm-3,27,P ugm-3,38,P ugm-3
06-01-2014,18:00,226.4,P deg,9.1,P ms-1,11.0,P degC,7,P ugm-3,26,P ugm-3,38,P ugm-3
06-01-2014,19:00,226.4,P deg,9.4,P ms-1,11.0,P degC,6,P ugm-3,24,P ugm-3,34,P ugm-3
06-01-2014,20:00,227.2,P deg,9.7,P ms-1,11.0,P degC,6,P ugm-3,24,P ugm-3,33,P ugm-3
06-01-2014,21:00,229.0,P deg,8.9,P ms-1,10.9,P degC,5,P ugm-3,17,P ugm-3,24,P ugm-3
06-01-2014,22:00,229.6,P deg,9.2,P ms-1,10.9,P degC,4,P ugm-3,17,P ugm-3,23,P ugm-3
06-01-2014,23:00,230.3,P deg,9.8,P ms-1,10.9,P degC,4,P ugm-3,16,P ugm-3,23,P ugm-3
06-01-2014,24:00,231.5,P deg,9.8,P ms-1,10.9,P degC,4,P ugm-3,15,P ugm-3,22,P ugm-3
07-01-2014,01:00,230.9,P deg,8.3,P ms-1,10.0,P degC,3,P ugm-3,13,P ugm-3,17,P ugm-3
07-01-2014,02:00,230.9,P deg,8.3,P ms-1,10.5,P degC,2,P ugm-3,12,P ugm-3,16,P ugm-3
07-01-2014,03:00,231.0,P deg,8.1,P ms-1,10.7,P degC,1,P ugm-3,9,P ugm-3,11,P ugm-3
07-01-2014,04:00,228.9,P deg,8.4,P ms-1,10.9,P degC,1,P ugm-3,8,P ugm-3,9,P ugm-3
07-01-2014,05:00,228.1,P deg,8.8,P ms-1,10.9,P degC,1,P ugm-3,9,P ugm-3,11,P ugm-3
07-01-2014,06:00,227.8,P deg,8.9,P ms-1,10.9,P degC,2,P ugm-3,10,P ugm-3,12,P ugm-3
07-01-2014,07:00,228.2,P deg,8.8,P ms-1,10.9,P degC,3,P ugm-3,16,P ugm-3,21,P ugm-3
07-01-2014,08:00,228.9,P deg,8.5,P ms-1,10.9,P degC,6,P ugm-3,22,P ugm-3,32,P ugm-3
07-01-2014,09:00,228.9,P deg,8.3,P ms-1,11.0,P degC,7,P ugm-3,26,P ugm-3,36,P ugm-3
07-01-2014,10:00,228.7,P deg,8.1,P ms-1,11.1,P degC,6,P ugm-3,26,P ugm-3,35,P ugm-3
07-01-2014,11:00,228.8,P deg,7.9,P ms-1,11.2,P degC,13,P ugm-3,34,P ugm-3,55,P ugm-3
07-01-2014,12:00,229.7,P deg,8.0,P ms-1,11.4,P degC,13,P ugm-3,36,P ugm-3,56,P ugm-3
07-01-2014,13:00,231.2,P deg,7.9,P ms-1,11.5,P degC,10,P ugm-3,31,P ugm-3,47,P ugm-3
07-01-2014,14:00,232.4,P deg,7.9,P ms-1,11.4,P degC,10,P ugm-3,33,P ugm-3,49,P ugm-3
07-01-2014,15:00,233.5,P deg,7.7,P ms-1,11.2,P degC,10,P ugm-3,36,P ugm-3,52,P ugm-3
07-01-2014,16:00,233.7,P deg,7.5,P ms-1,10.6,P degC,9,P ugm-3,32,P ugm-3,46,P ugm-3
07-01-2014,17:00,234.3,P deg,7.3,P ms-1,10.3,P degC,12,P ugm-3,37,P ugm-3,55,P ugm-3
07-01-2014,18:00,235.0,P deg,7.0,P ms-1,10.4,P degC,11,P ugm-3,39,P ugm-3,57,P ugm-3
07-01-2014,19:00,235.9,P deg,6.8,P ms-1,10.3,P degC,11,P ugm-3,43,P ugm-3,60,P ugm-3
07-01-2014,20:00,235.5,P deg,6.7,P ms-1,10.4,P degC,8,P ugm-3,37,P ugm-3,49,P ugm-3
07-01-2014,21:00,236.3,P deg,7.0,P ms-1,10.2,P degC,6,P ugm-3,29,P ugm-3,39,P ugm-3
07-01-2014,22:00,239.0,P deg,7.2,P ms-1,9.9,P degC,7,P ugm-3,25,P ugm-3,36,P ugm-3
07-01-2014,23:00,241.0,P deg,7.4,P ms-1,9.9,P degC,8,P ugm-3,34,P ugm-3,47,P ugm-3
07-01-2014,24:00,241.8,P deg,7.4,P ms-1,9.6,P degC,6,P ugm-3,26,P ugm-3,34,P ugm-3
08-01-2014,01:00,245.8,P deg,5.2,P ms-1,8.0,P degC,7,P ugm-3,25,P ugm-3,36,P ugm-3
08-01-2014,02:00,243.4,P deg,5.3,P ms-1,8.0,P degC,5,P ugm-3,22,P ugm-3,30,P ugm-3
08-01-2014,03:00,244.5,P deg,5.5,P ms-1,7.9,P degC,3,P ugm-3,15,P ugm-3,20,P ugm-3
08-01-2014,04:00,241.8,P deg,5.5,P ms-1,7.8,P degC,3,P ugm-3,17,P ugm-3,21,P ugm-3
08-01-2014,05:00,247.3,P deg,5.1,P ms-1,7.9,P degC,4,P ugm-3,21,P ugm-3,28,P ugm-3
08-01-2014,06:00,247.0,P deg,5.0,P ms-1,7.7,P degC,4,P ugm-3,24,P ugm-3,30,P ugm-3
08-01-2014,07:00,243.3,P deg,5.2,P ms-1,7.7,P degC,15,P ugm-3,43,P ugm-3,66,P ugm-3
08-01-2014,08:00,241.4,P deg,5.3,P ms-1,7.8,P degC,22,P ugm-3,57,P ugm-3,90,P ugm-3
08-01-2014,09:00,242.2,P deg,5.0,P ms-1,8.2,P degC,28,P ugm-3,71,P ugm-3,113,P ugm-3
08-01-2014,10:00,241.2,P deg,4.6,P ms-1,9.2,P degC,30,P ugm-3,62,P ugm-3,108,P ugm-3
08-01-2014,11:00,233.2,P deg,3.6,P ms-1,10.2,P degC,23,P ugm-3,53,P ugm-3,88,P ugm-3
08-01-2014,12:00,238.9,P deg,4.1,P ms-1,11.0,P degC,23,P ugm-3,49,P ugm-3,85,P ugm-3
08-01-2014,13:00,233.3,P deg,4.3,P ms-1,11.5,P degC,16,P ugm-3,42,P ugm-3,66,P ugm-3
08-01-2014,14:00,220.4,P deg,3.9,P ms-1,10.9,P degC,18,P ugm-3,50,P ugm-3,78,P ugm-3
08-01-2014,15:00,212.2,P deg,4.1,P ms-1,9.9,P degC,17,P ugm-3,49,P ugm-3,76,P ugm-3
08-01-2014,16:00,199.3,P deg,3.7,P ms-1,9.2,P degC,18,P ugm-3,58,P ugm-3,86,P ugm-3
08-01-2014,17:00,183.4,P deg,3.9,P ms-1,8.8,P degC,11,P ugm-3,52,P ugm-3,68,P ugm-3
08-01-2014,18:00,179.1,P deg,4.0,P ms-1,8.5,P degC,19,P ugm-3,53,P ugm-3,83,P ugm-3
08-01-2014,19:00,188.3,P deg,4.3,P ms-1,8.8,P degC,8,P ugm-3,39,P ugm-3,50,P ugm-3
08-01-2014,20:00,195.1,P deg,4.9,P ms-1,9.6,P degC,6,P ugm-3,36,P ugm-3,45,P ugm-3
08-01-2014,21:00,200.2,P deg,5.3,P ms-1,10.4,P degC,5,P ugm-3,32,P ugm-3,40,P ugm-3
08-01-2014,22:00,205.3,P deg,5.6,P ms-1,10.8,P degC,6,P ugm-3,31,P ugm-3,40,P ugm-3
08-01-2014,23:00,207.6,P deg,5.8,P ms-1,11.1,P degC,6,P ugm-3,26,P ugm-3,34,P ugm-3
08-01-2014,24:00,211.2,P deg,5.9,P ms-1,11.1,P degC,7,P ugm-3,20,P ugm-3,30,P ugm-3
09-01-2014,01:00,220.3,P deg,6.8,P ms-1,11.7,P degC,4,P ugm-3,16,P ugm-3,23,P ugm-3
09-01-2014,02:00,224.0,P deg,7.4,P ms-1,12.1,P degC,3,P ugm-3,15,P ugm-3,20,P ugm-3
09-01-2014,03:00,225.8,P deg,8.1,P ms-1,12.2,P degC,2,P ugm-3,13,P ugm-3,15,P ugm-3
09-01-2014,04:00,231.6,P deg,8.4,P ms-1,11.9,P degC,2,P ugm-3,11,P ugm-3,15,P ugm-3
09-01-2014,05:00,234.0,P deg,8.5,P ms-1,11.4,P degC,2,P ugm-3,12,P ugm-3,15,P ugm-3
09-01-2014,06:00,234.5,P deg,8.8,P ms-1,10.9,P degC,5,P ugm-3,17,P ugm-3,25,P ugm-3
09-01-2014,07:00,239.0,P deg,8.6,P ms-1,10.5,P degC,5,P ugm-3,21,P ugm-3,29,P ugm-3
09-01-2014,08:00,250.3,P deg,7.7,P ms-1,10.4,P degC,17,P ugm-3,44,P ugm-3,69,P ugm-3
09-01-2014,09:00,259.8,P deg,7.3,P ms-1,10.0,P degC,22,P ugm-3,56,P ugm-3,91,P ugm-3
09-01-2014,10:00,269.0,P deg,7.1,P ms-1,9.6,P degC,34,P ugm-3,69,P ugm-3,121,P ugm-3
09-01-2014,11:00,284.4,P deg,6.5,P ms-1,8.7,P degC,39,P ugm-3,60,P ugm-3,120,P ugm-3
09-01-2014,12:00,299.1,P deg,7.2,P ms-1,7.9,P degC,45,P ugm-3,61,P ugm-3,130,P ugm-3
09-01-2014,13:00,292.7,P deg,6.9,P ms-1,8.5,P degC,56,P ugm-3,71,P ugm-3,157,P ugm-3
09-01-2014,14:00,282.3,P deg,6.2,P ms-1,8.5,P degC,54,P ugm-3,70,P ugm-3,153,P ugm-3
09-01-2014,15:00,278.3,P deg,5.8,P ms-1,7.9,P degC,52,P ugm-3,74,P ugm-3,154,P ugm-3
09-01-2014,16:00,275.5,P deg,5.6,P ms-1,7.0,P degC,85,P ugm-3,91,P ugm-3,222,P ugm-3
09-01-2014,17:00,271.1,P deg,5.5,P ms-1,6.5,P degC,72,P ugm-3,87,P ugm-3,198,P ugm-3
09-01-2014,18:00,271.2,P deg,5.4,P ms-1,6.0,P degC,70,P ugm-3,89,P ugm-3,197,P ugm-3
09-01-2014,19:00,270.9,P deg,5.0,P ms-1,5.6,P degC,56,P ugm-3,78,P ugm-3,163,P ugm-3
09-01-2014,20:00,266.3,P deg,4.6,P ms-1,5.2,P degC,38,P ugm-3,76,P ugm-3,135,P ugm-3
